-0.015,0.001,1.071,-41.87,-22.705,-4.395
-0.017,-0.005,1.068,-52.307,-18.982,-7.385
-0.02,-0.007,1.082,-39.429,-27.1,0.854
-0.013,-0.012,1.086,-41.321,-20.569,-6.104
-0.014,-0.006,1.081,-40.649,-21.851,-1.77
-0.009,-0.004,1.072,-41.748,-24.353,-3.418
-0.016,-0.005,1.075,-39.368,-27.832,-4.272
-0.019,-0.003,1.081,-42.358,-29.846,-4.028
-0.021,-0.01,1.08,-46.448,-21.973,-3.418
-0.021,-0.006,1.086,-43.457,-27.71,-1.526
-0.011,-0.012,1.075,-42.969,-35.645,-0.305
-0.021,-0.008,1.078,-46.997,-28.564,-5.798
-0.019,-0.004,1.082,-44.983,-23.56,-1.526
-0.024,-0.002,1.084,-44.495,-28.015,1.648
-0.012,-0.016,1.066,-47.546,-18.86,2.563
-0.022,-0.007,1.078,-47.974,-31.677,-1.16
-0.008,-0.014,1.081,-49.011,-25.94,2.625
-0.021,-0.009,1.081,-56.885,-38.391,-0.732
-0.01,-0.015,1.079,-43.457,-25.085,-0.366
-0.017,-0.01,1.082,-45.715,-31.494,0.916
-0.013,-0.008,1.074,-49.683,-33.264,-6.47
-0.018,-0.011,1.083,-44.739,-25.33,-2.625
-0.014,-0.009,1.065,-57.19,-24.902,-5.127
-0.008,0.004,1.07,-51.27,-26.733,3.662
-0.021,-0.005,1.075,-43.762,-24.536,4.822
-0.014,0.0,1.082,-45.166,-22.095,-7.568
-0.021,0.0,1.069,-50.537,-26.123,-4.456
-0.016,-0.001,1.072,-42.542,-20.325,-0.061
-0.024,-0.002,1.084,-54.504,-31.86,-3.479
-0.008,-0.008,1.072,-41.199,-32.715,-1.953
-0.022,0.0,1.071,-54.688,-29.48,-4.15
-0.014,-0.003,1.081,-49.072,-33.081,1.038
-0.014,-0.005,1.077,-51.208,-23.987,-5.249
-0.018,-0.019,1.073,-44.128,-30.334,0.854
-0.018,-0.01,1.082,-49.744,-25.818,-0.183
-0.005,-0.003,1.074,-46.997,-19.348,-1.587
-0.009,-0.005,1.079,-47.424,-26.001,-6.287
-0.017,-0.001,1.075,-51.025,-31.128,1.221
-0.019,-0.004,1.072,-48.523,-28.198,-5.92
-0.021,-0.006,1.072,-45.654,-26.001,-7.019
-0.012,0.0,1.072,-46.448,-25.024,-11.597
-0.011,-0.004,1.07,-42.603,-28.381,2.38
-0.012,-0.011,1.061,-41.687,-28.137,0.061
-0.014,-0.001,1.071,-45.044,-33.142,-4.578
-0.018,0.003,1.066,-45.471,-22.766,-1.16
-0.011,-0.004,1.068,-44.678,-27.893,-4.15
-0.014,-0.009,1.068,-45.715,-26.489,-6.592
-0.011,-0.01,1.066,-50.293,-24.78,-0.977
-0.019,-0.006,1.075,-43.64,-24.536,2.014
-0.018,-0.01,1.07,-45.349,-24.597,-6.348
