timestamp_us,raw_mag,filtered,ax,ay,az
7817676,1.027,0.319,-0.054,0.99,0.268
7827625,1.029,0.474,-0.046,0.993,0.265
7837453,1.03,0.592,-0.051,0.991,0.274
7847433,1.021,0.677,-0.061,0.983,0.271
7857433,1.02,0.737,-0.059,0.979,0.278
7867794,1.02,0.777,-0.067,0.981,0.271
7877670,1.03,0.804,-0.055,0.993,0.266
7887532,1.034,0.819,-0.059,0.996,0.272
7897432,1.02,0.824,-0.062,0.982,0.267
7907484,1.031,0.82,-0.056,0.991,0.277
7917429,1.035,0.813,-0.051,0.995,0.282
7927433,1.024,0.8,-0.06,0.988,0.262
7937718,1.025,0.782,-0.06,0.987,0.269
7947436,1.016,0.762,-0.069,0.977,0.27
7957429,1.019,0.739,-0.063,0.981,0.268
7967684,1.027,0.717,-0.063,0.987,0.276
7977716,1.01,0.693,-0.059,0.972,0.266
7987583,1.022,0.668,-0.07,0.985,0.264
7997433,1.025,0.645,-0.058,0.989,0.263
8007433,1.019,0.622,-0.058,0.98,0.275
8017433,1.021,0.599,-0.056,0.985,0.262
8027433,1.021,0.576,-0.068,0.982,0.271
8037963,1.02,0.554,-0.078,0.98,0.273
8047440,1.029,0.534,-0.066,0.991,0.271
8057433,1.027,0.514,-0.073,0.99,0.261
8070802,1.031,0.495,-0.068,0.993,0.271
8077453,1.044,0.478,-0.057,1.004,0.279
8087564,1.033,0.462,-0.064,0.996,0.266
8097473,1.034,0.444,-0.061,0.998,0.262
8107433,1.021,0.426,-0.067,0.983,0.268
8117433,1.033,0.408,-0.053,0.997,0.264
8127433,1.018,0.39,-0.048,0.978,0.277
8137548,1.026,0.373,-0.048,0.989,0.267
8147480,1.024,0.357,-0.047,0.989,0.259
8157437,1.016,0.341,-0.057,0.979,0.269
8167774,1.015,0.325,-0.049,0.978,0.268
8177703,1.018,0.31,-0.056,0.981,0.265
8187461,1.033,0.298,-0.05,1.0,0.253
8197433,1.037,0.288,-0.056,1.002,0.261
8207433,1.029,0.278,-0.034,0.993,0.266
8217433,1.021,0.266,-0.036,0.984,0.27
8227556,1.026,0.255,-0.03,0.996,0.247
8237468,1.022,0.244,-0.021,0.988,0.26
8247436,1.02,0.233,-0.031,0.987,0.257
8257433,0.997,0.219,-0.024,0.966,0.247
8267433,0.988,0.204,-0.021,0.957,0.245
8277937,0.994,0.19,-0.024,0.962,0.247
8287457,0.988,0.177,-0.039,0.954,0.253
8297445,0.988,0.165,-0.048,0.958,0.233
8307433,0.991,0.155,-0.046,0.961,0.237
8317668,0.991,0.147,-0.041,0.959,0.245
8327578,1.003,0.14,-0.028,0.971,0.249
8337453,1.006,0.136,-0.028,0.973,0.253
8347433,1.008,0.132,-0.018,0.977,0.248
8357433,1.014,0.128,-0.032,0.983,0.246
8367433,1.027,0.127,-0.037,0.993,0.258
8377872,1.035,0.127,-0.042,1.002,0.254
8387808,1.042,0.128,-0.056,1.009,0.253
8397578,1.039,0.128,-0.055,1.008,0.244
8407433,1.047,0.128,-0.054,1.012,0.263
8417433,1.037,0.126,-0.037,1.002,0.265
8427433,1.026,0.122,-0.032,0.992,0.261
8437433,1.024,0.116,-0.026,0.987,0.273
8447580,0.978,0.105,-0.014,0.942,0.26
8457441,0.948,0.087,-0.005,0.914,0.252
8467433,0.934,0.068,-0.009,0.902,0.242
8479359,0.913,0.048,-0.026,0.879,0.246
8487445,0.916,0.031,-0.034,0.881,0.247
8498037,0.893,0.014,-0.064,0.851,0.265
8507465,0.871,-0.003,-0.05,0.826,0.274
8517445,0.847,-0.022,-0.048,0.798,0.28
8527433,0.853,-0.038,-0.031,0.781,0.341
8537433,0.868,-0.048,-0.007,0.78,0.38
8547433,0.896,-0.051,-0.01,0.805,0.394
8557574,0.952,-0.043,0.0,0.854,0.42
8567568,1.071,-0.017,0.031,0.975,0.443
8577532,1.105,0.02,0.03,1.015,0.437
8587640,1.193,0.063,-0.019,1.102,0.457
8597610,1.259,0.112,-0.184,1.116,0.553
8607457,1.297,0.162,-0.308,1.114,0.589
8617433,1.408,0.216,-0.571,1.128,0.618
8627433,1.468,0.275,-0.716,1.115,0.633
8637433,1.463,0.325,-0.746,1.093,0.625
8647556,1.446,0.358,-0.707,1.106,0.606
8657460,1.456,0.381,-0.626,1.172,0.594
8667436,1.447,0.395,-0.589,1.182,0.591
8677433,1.416,0.399,-0.479,1.203,0.572
8687724,1.385,0.392,-0.401,1.165,0.634
8697457,1.379,0.379,-0.353,1.161,0.656
8707433,1.35,0.362,-0.276,1.146,0.659
8717433,1.315,0.339,-0.247,1.108,0.664
8727433,1.305,0.313,-0.236,1.097,0.667
8737754,1.284,0.287,-0.234,1.089,0.637
8747468,1.228,0.256,-0.219,1.062,0.577
8757436,1.217,0.222,-0.222,1.064,0.547
8767433,1.183,0.19,-0.234,1.037,0.52
8777433,1.18,0.159,-0.264,1.036,0.5
8788621,1.192,0.134,-0.299,1.032,0.517
8797544,1.163,0.112,-0.333,1.004,0.484
8807570,1.141,0.089,-0.377,0.972,0.462
8817809,1.133,0.066,-0.402,0.958,0.451
8827457,1.097,0.043,-0.396,0.933,0.418
8837441,1.051,0.016,-0.382,0.894,0.4
8847433,1.032,-0.012,-0.379,0.874,0.398
8857433,1.011,-0.039,-0.375,0.86,0.375
8867927,0.98,-0.065,-0.364,0.829,0.376
8877449,0.973,-0.089,-0.35,0.826,0.375
8890393,0.927,-0.113,-0.337,0.79,0.349
8897520,0.903,-0.138,-0.297,0.779,0.346
8907433,0.889,-0.161,-0.295,0.772,0.328
8917433,0.861,-0.182,-0.277,0.749,0.322
8927433,0.858,-0.201,-0.253,0.749,0.334
8937433,0.839,-0.216,-0.23,0.719,0.367
8947793,0.834,-0.229,-0.218,0.699,0.399
8957464,0.806,-0.241,-0.233,0.664,0.394
8967433,0.809,-0.251,-0.234,0.666,0.396
8977433,0.813,-0.256,-0.266,0.651,0.409
8987513,0.831,-0.255,-0.291,0.671,0.394
8998259,0.865,-0.247,-0.302,0.704,0.402
9007489,0.863,-0.235,-0.302,0.712,0.384
9017433,0.848,-0.226,-0.298,0.698,0.378
9027433,0.837,-0.22,-0.301,0.682,0.38
9038470,0.835,-0.215,-0.297,0.673,0.395
9047437,0.838,-0.209,-0.296,0.672,0.404
9057587,0.842,-0.202,-0.294,0.664,0.426
9067593,0.839,-0.195,-0.289,0.652,0.44
9077433,0.839,-0.188,-0.283,0.665,0.428
9088768,0.829,-0.183,-0.272,0.655,0.428
9097727,0.835,-0.178,-0.281,0.673,0.407
9107457,0.841,-0.171,-0.258,0.694,0.399
9117433,0.916,-0.155,-0.27,0.787,0.385
9127433,0.982,-0.126,-0.259,0.882,0.346
9137433,1.012,-0.091,-0.259,0.917,0.341
9147863,1.033,-0.058,-0.25,0.952,0.314
9157457,1.056,-0.027,-0.223,0.984,0.312
9167433,1.057,0.0,-0.217,0.986,0.312
9177437,1.083,0.024,-0.213,1.014,0.317
9187433,1.12,0.05,-0.19,1.045,0.356
9197676,1.125,0.074,-0.182,1.044,0.376
9207457,1.133,0.093,-0.161,1.055,0.38
9217433,1.106,0.106,-0.131,1.027,0.389
9227433,1.076,0.108,-0.125,0.999,0.378
9237433,1.001,0.097,-0.11,0.924,0.368
9247582,0.928,0.071,-0.089,0.855,0.349
9257468,0.919,0.042,-0.069,0.851,0.34
9267436,0.891,0.014,-0.07,0.835,0.302
9277433,0.928,-0.007,-0.046,0.884,0.278
9287433,0.968,-0.014,-0.055,0.927,0.276
9298937,1.06,-0.004,-0.041,1.032,0.238
9307587,1.153,0.024,-0.045,1.128,0.235
9317683,1.217,0.063,-0.072,1.191,0.239
