timestamp_us,raw_mag,filtered,ax,ay,az
12417433,1.054,-0.005,-0.92,0.506,0.093
12427433,1.089,-0.013,-0.974,0.432,0.225
12437433,1.124,-0.011,-1.048,0.354,0.2
12447433,1.126,-0.006,-1.069,0.306,0.178
12461102,1.165,0.003,-1.135,0.261,0.011
12467504,1.166,0.015,-1.138,0.253,-0.026
12477433,1.183,0.025,-1.151,0.271,-0.024
12487433,1.115,0.028,-1.07,0.306,-0.07
12497433,1.094,0.019,-1.03,0.369,-0.013
12508468,1.078,0.009,-1.0,0.403,0.0
12517564,1.069,-0.002,-0.992,0.397,0.03
12527433,1.035,-0.016,-0.972,0.354,0.028
12537433,1.009,-0.033,-0.957,0.32,0.02
12547433,0.987,-0.051,-0.947,0.274,-0.044
12557767,1.022,-0.064,-0.977,0.268,-0.134
12567640,1.037,-0.067,-0.987,0.273,-0.159
12577440,1.088,-0.062,-1.036,0.284,-0.176
12587433,1.092,-0.051,-1.052,0.248,-0.157
12597433,1.068,-0.045,-1.037,0.221,-0.129
12607433,1.005,-0.049,-0.99,0.135,-0.108
12617929,0.92,-0.069,-0.911,0.089,-0.09
12627441,0.888,-0.097,-0.875,0.103,-0.115
12637433,0.83,-0.128,-0.806,0.128,-0.148
12647433,0.878,-0.152,-0.829,0.225,-0.183
12658521,0.924,-0.159,-0.87,0.257,-0.176
12667897,0.975,-0.152,-0.918,0.278,-0.174
12677484,0.953,-0.142,-0.92,0.197,-0.15
12687433,0.95,-0.136,-0.918,0.178,-0.169
12697433,0.941,-0.132,-0.902,0.151,-0.222
12707433,0.918,-0.131,-0.85,0.14,-0.318
12718418,0.907,-0.133,-0.822,0.167,-0.347
12727468,0.919,-0.134,-0.82,0.246,-0.333
12737437,0.974,-0.126,-0.878,0.337,-0.252
12747433,0.968,-0.113,-0.881,0.3,-0.265
12757680,0.942,-0.106,-0.884,0.153,-0.288
12768553,1.036,-0.091,-0.981,0.061,-0.327
12777488,1.099,-0.062,-1.039,0.001,-0.358
12787476,1.124,-0.029,-1.042,-0.083,-0.413
12797433,1.123,-0.001,-1.029,-0.028,-0.449
12807433,1.136,0.023,-1.045,0.067,-0.44
12818544,1.174,0.047,-1.08,0.233,-0.399
12827488,1.144,0.066,-1.05,0.286,-0.354
12837433,1.079,0.069,-0.988,0.237,-0.363
12847433,1.008,0.056,-0.906,0.2,-0.394
12857433,0.992,0.036,-0.871,0.18,-0.44
12868224,1.001,0.019,-0.862,0.19,-0.473
12877489,1.03,0.01,-0.852,0.176,-0.55
12887433,1.037,0.007,-0.879,0.205,-0.511
12897433,1.054,0.007,-0.917,0.233,-0.463
12907433,1.043,0.008,-0.93,0.185,-0.434
12917433,1.052,0.009,-0.953,0.114,-0.431
12927582,1.099,0.015,-1.005,-0.016,-0.444
12937444,1.128,0.029,-1.026,-0.019,-0.468
12947433,1.113,0.04,-1.006,-0.005,-0.476
12957433,1.074,0.043,-0.946,0.083,-0.501
12967516,1.069,0.04,-0.91,0.207,-0.522
12977894,1.032,0.032,-0.886,0.227,-0.478
12987469,1.013,0.02,-0.882,0.189,-0.46
12997433,1.022,0.009,-0.901,0.07,-0.479
13007566,1.027,0.002,-0.9,-0.012,-0.494
13017433,1.05,0.0,-0.892,-0.066,-0.551
13028674,1.087,0.005,-0.909,-0.022,-0.597
13037864,1.068,0.011,-0.883,0.054,-0.598
13047440,1.047,0.011,-0.858,0.093,-0.592
13057433,0.99,0.002,-0.819,0.133,-0.539
13068132,0.898,-0.022,-0.757,0.096,-0.474
13077703,0.878,-0.052,-0.75,0.021,-0.457
13087476,0.886,-0.077,-0.748,-0.069,-0.47
13097433,0.926,-0.09,-0.768,-0.09,-0.511
13107432,0.947,-0.093,-0.774,-0.089,-0.538
13117433,0.987,-0.087,-0.813,-0.026,-0.558
13127842,0.977,-0.079,-0.81,-0.029,-0.545
13137465,0.903,-0.081,-0.75,0.049,-0.502
13147433,0.846,-0.097,-0.725,0.051,-0.434
13157433,0.797,-0.121,-0.683,-0.026,-0.409
13167433,0.843,-0.138,-0.73,-0.1,-0.409
13178026,0.91,-0.138,-0.759,-0.164,-0.475
13187465,0.933,-0.127,-0.758,-0.168,-0.518
13197433,0.953,-0.112,-0.713,-0.173,-0.608
13207433,0.927,-0.101,-0.71,-0.037,-0.594
13217433,0.908,-0.096,-0.718,0.009,-0.556
13228616,0.822,-0.103,-0.67,-0.067,-0.472
13237468,0.788,-0.122,-0.654,-0.142,-0.416
13247437,0.819,-0.135,-0.694,-0.141,-0.412
13257680,0.944,-0.127,-0.793,-0.186,-0.477
13267433,1.022,-0.097,-0.829,-0.219,-0.556
13279317,1.018,-0.065,-0.783,-0.237,-0.605
